id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage,intake_signals
33,Indiana Legal Services — Merrillville,legal-aid,Northwest Indiana — 4 counties,"Indiana Legal Services — Merrillville serves justice-involved adults and families rebuilding stability after incarceration in Jasper, Lake, Newton, and Porter counties. Free civil legal aid for low-income residents in northwest Indiana including Lake County housing, benefits, and civil legal barriers to reentry. Income and household-size limits apply; intake through centralized line 844-243-8570 or local office. Representation is limited to civil legal matters—not active criminal cases. Income, household size, and offense type determine eligibility for record relief. Contact the program to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","Indiana Legal Services — Merrillville ofrece asistencia legal civil gratuita o de bajo costo para residentes de bajos ingresos en los condados Jasper, Lake, Newton y Porter. Los abogados ayudan con sellado o eliminación de antecedentes, desalojos, beneficios y otros asuntos civiles—no casos penales activos. La representación se limita a asuntos legales civiles—no casos penales activos. Ingresos, tamaño del hogar y tipo de delito determinan la elegibilidad para alivio de antecedentes. Contacte la oficina para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.","7863 Broadway, Suite 205",Merrillville,(219) 738-6040,,https://www.indianalegalservices.org,Low-income Indiana residents in service area; veterans and seniors may qualify with higher income limits.,Residentes de bajos ingresos en el área de servicio; veteranos y personas mayores pueden calificar con límites más altos.,Apply online at indianalegalservices.org or call 844-243-8570 Mon–Thu 10 a.m.–2 p.m. ET for ILS offices.,Solicite en línea o llame al 844-243-8570 lun–jue 10 a.m.–2 p.m. ET para oficinas ILS.,Intake Mon–Thu mornings; call local office for walk-in hours,legal-aid|low-income|reentry|housing|indiana|lake,Civil legal representation|Housing legal aid|Benefits advocacy|Family law assistance,Lake,Jasper|Lake|Newton|Porter,multi,accepts_criminal_record
34,Indiana Legal Services — Fort Wayne,legal-aid,Northeast Indiana — 10 counties,"Indiana Legal Services — Fort Wayne serves justice-involved adults and families rebuilding stability after incarceration in 10 Indiana counties. Free civil legal assistance for low-income northeast Indiana residents including housing defense, benefits advocacy, and civil legal issues. Income and household-size limits apply; intake through centralized line 844-243-8570 or local office. Representation is limited to civil legal matters—not active criminal cases. Income, household size, and offense type determine eligibility for record relief. Contact the program to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","Indiana Legal Services — Fort Wayne ofrece asistencia legal civil gratuita o de bajo costo para residentes de bajos ingresos en 10 condados de Indiana. Los abogados ayudan con sellado o eliminación de antecedentes, desalojos, beneficios y otros asuntos civiles—no casos penales activos. La representación se limita a asuntos legales civiles—no casos penales activos. Ingresos, tamaño del hogar y tipo de delito determinan la elegibilidad para alivio de antecedentes. Contacte la oficina para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.","110 West Berry Street, Suite 2007",Fort Wayne,(260) 424-9155,,https://www.indianalegalservices.org,Low-income Indiana residents in service area; veterans and seniors may qualify with higher income limits.,Residentes de bajos ingresos en el área de servicio; veteranos y personas mayores pueden calificar con límites más altos.,Apply online at indianalegalservices.org or call 844-243-8570 Mon–Thu 10 a.m.–2 p.m. ET for ILS offices.,Solicite en línea o llame al 844-243-8570 lun–jue 10 a.m.–2 p.m. ET para oficinas ILS.,Intake Mon–Thu mornings; call local office for walk-in hours,legal-aid|low-income|reentry|housing|indiana|allen,Civil legal representation|Housing legal aid|Benefits advocacy|Family law assistance,Allen,Adams|Allen|Blackford|DeKalb|Grant|Huntington|Jay|Steuben|Wells|Whitley,multi,accepts_criminal_record
35,Indiana Legal Services — New Albany,legal-aid,Southeast Indiana — 12 counties,"Indiana Legal Services — New Albany serves justice-involved adults and families rebuilding stability after incarceration in 12 Indiana counties. Free civil legal aid for low-income southeast Indiana residents including housing, benefits, and family law with domestic violence protections. Income and household-size limits apply; intake through centralized line 844-243-8570 or local office. Representation is limited to civil legal matters—not active criminal cases. Income, household size, and offense type determine eligibility for record relief. Contact the program to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","Indiana Legal Services — New Albany ofrece asistencia legal civil gratuita o de bajo costo para residentes de bajos ingresos en 12 condados de Indiana. Los abogados ayudan con sellado o eliminación de antecedentes, desalojos, beneficios y otros asuntos civiles—no casos penales activos. La representación se limita a asuntos legales civiles—no casos penales activos. Ingresos, tamaño del hogar y tipo de delito determinan la elegibilidad para alivio de antecedentes. Contacte la oficina para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.","3303 Plaza Drive, Suite 5",New Albany,(812) 945-4123,,https://www.indianalegalservices.org,Low-income Indiana residents in service area; veterans and seniors may qualify with higher income limits.,Residentes de bajos ingresos en el área de servicio; veteranos y personas mayores pueden calificar con límites más altos.,Apply online at indianalegalservices.org or call 844-243-8570 Mon–Thu 10 a.m.–2 p.m. ET for ILS offices.,Solicite en línea o llame al 844-243-8570 lun–jue 10 a.m.–2 p.m. ET para oficinas ILS.,Intake Mon–Thu mornings; call local office for walk-in hours,legal-aid|low-income|reentry|housing|indiana|floyd,Civil legal representation|Housing legal aid|Benefits advocacy|Family law assistance,Floyd,Clark|Crawford|Dearborn|Floyd|Harrison|Jefferson|Jennings|Ohio|Ripley|Scott|Switzerland|Washington,multi,accepts_criminal_record
36,Indiana Legal Services — South Bend,legal-aid,North-Central Indiana — 10 counties,"Indiana Legal Services — South Bend serves justice-involved adults and families rebuilding stability after incarceration in 10 Indiana counties. Free civil legal services for low-income north-central Indiana residents including housing, benefits, and consumer legal matters. Income and household-size limits apply; intake through centralized line 844-243-8570 or local office. Representation is limited to civil legal matters—not active criminal cases. Income, household size, and offense type determine eligibility for record relief. Contact the program to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","Indiana Legal Services — South Bend ofrece asistencia legal civil gratuita o de bajo costo para residentes de bajos ingresos en 10 condados de Indiana. Los abogados ayudan con sellado o eliminación de antecedentes, desalojos, beneficios y otros asuntos civiles—no casos penales activos. La representación se limita a asuntos legales civiles—no casos penales activos. Ingresos, tamaño del hogar y tipo de delito determinan la elegibilidad para alivio de antecedentes. Contacte la oficina para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.","227 South Main Street, Suite 200",South Bend,(574) 234-8121,,https://www.indianalegalservices.org,Low-income Indiana residents in service area; veterans and seniors may qualify with higher income limits.,Residentes de bajos ingresos en el área de servicio; veteranos y personas mayores pueden calificar con límites más altos.,Apply online at indianalegalservices.org or call 844-243-8570 Mon–Thu 10 a.m.–2 p.m. ET for ILS offices.,Solicite en línea o llame al 844-243-8570 lun–jue 10 a.m.–2 p.m. ET para oficinas ILS.,Intake Mon–Thu mornings; call local office for walk-in hours,legal-aid|low-income|reentry|housing|indiana|st.-joseph,Civil legal representation|Housing legal aid|Benefits advocacy|Family law assistance,St. Joseph,Elkhart|Fulton|Kosciusko|LaGrange|LaPorte|Marshall|Noble|Pulaski|Starke|St. Joseph,multi,accepts_criminal_record
37,Neighborhood Christian Legal Clinic — Indianapolis,legal-aid,Central Indiana,"Neighborhood Christian Legal Clinic — Indianapolis serves justice-involved adults and families rebuilding stability after incarceration in 8 Indiana counties. Faith-based legal clinic providing free civil legal services statewide with Indianapolis hub, including immigration, housing, and second-chance legal support. Income and household-size limits apply; intake through centralized line 844-243-8570 or local office. Representation is limited to civil legal matters—not active criminal cases. Income, household size, and offense type determine eligibility for record relief. Contact the program to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","Neighborhood Christian Legal Clinic — Indianapolis ofrece asistencia legal civil gratuita o de bajo costo para residentes de bajos ingresos en 8 condados de Indiana. Los abogados ayudan con sellado o eliminación de antecedentes, desalojos, beneficios y otros asuntos civiles—no casos penales activos. La representación se limita a asuntos legales civiles—no casos penales activos. Ingresos, tamaño del hogar y tipo de delito determinan la elegibilidad para alivio de antecedentes. Contacte la oficina para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.",3102 East 10th Street,Indianapolis,(317) 429-4131,,https://www.nclegalclinic.org,Low-income Indiana residents in service area; veterans and seniors may qualify with higher income limits.,Residentes de bajos ingresos en el área de servicio; veteranos y personas mayores pueden calificar con límites más altos.,Apply online at indianalegalservices.org or call 844-243-8570 Mon–Thu 10 a.m.–2 p.m. ET for ILS offices.,Solicite en línea o llame al 844-243-8570 lun–jue 10 a.m.–2 p.m. ET para oficinas ILS.,Intake Mon–Thu mornings; call local office for walk-in hours,legal-aid|low-income|reentry|housing|indiana|marion,Civil legal representation|Housing legal aid|Benefits advocacy|Family law assistance,Marion,Marion|Boone|Hamilton|Hancock|Hendricks|Johnson|Morgan|Shelby,multi,accepts_criminal_record
38,Neighborhood Christian Legal Clinic — Fort Wayne,legal-aid,Northeast Indiana,"Neighborhood Christian Legal Clinic — Fort Wayne serves justice-involved adults and families rebuilding stability after incarceration in 12 Indiana counties. Fort Wayne office of Neighborhood Christian Legal Clinic offering free civil legal aid including housing, family law, and record-related civil matters. Income and household-size limits apply; intake through centralized line 844-243-8570 or local office. Representation is limited to civil legal matters—not active criminal cases. Income, household size, and offense type determine eligibility for record relief. Contact the program to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","Neighborhood Christian Legal Clinic — Fort Wayne ofrece asistencia legal civil gratuita o de bajo costo para residentes de bajos ingresos en 12 condados de Indiana. Los abogados ayudan con sellado o eliminación de antecedentes, desalojos, beneficios y otros asuntos civiles—no casos penales activos. La representación se limita a asuntos legales civiles—no casos penales activos. Ingresos, tamaño del hogar y tipo de delito determinan la elegibilidad para alivio de antecedentes. Contacte la oficina para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.",347 West Berry Street,Fort Wayne,(260) 456-8972,,https://www.nclegalclinic.org,Low-income Indiana residents in service area; veterans and seniors may qualify with higher income limits.,Residentes de bajos ingresos en el área de servicio; veteranos y personas mayores pueden calificar con límites más altos.,Apply online at indianalegalservices.org or call 844-243-8570 Mon–Thu 10 a.m.–2 p.m. ET for ILS offices.,Solicite en línea o llame al 844-243-8570 lun–jue 10 a.m.–2 p.m. ET para oficinas ILS.,Intake Mon–Thu mornings; call local office for walk-in hours,legal-aid|low-income|reentry|housing|indiana|allen,Civil legal representation|Housing legal aid|Benefits advocacy|Family law assistance,Allen,Adams|Allen|DeKalb|Grant|Huntington|Jay|Kosciusko|LaGrange|Noble|Steuben|Wells|Whitley,multi,accepts_criminal_record
39,Indianapolis Legal Aid Society,legal-aid,Indianapolis / Central Indiana,"Indianapolis Legal Aid Society serves justice-involved adults and families rebuilding stability after incarceration in 8 Indiana counties. Nonprofit providing free civil legal advice and representation for low-income central Indiana residents; appointment required for attorney consultation. Income and household-size limits apply; intake through centralized line 844-243-8570 or local office. Representation is limited to civil legal matters—not active criminal cases. Income, household size, and offense type determine eligibility for record relief. Contact the program to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","Indianapolis Legal Aid Society ofrece asistencia legal civil gratuita o de bajo costo para residentes de bajos ingresos en 8 condados de Indiana. Los abogados ayudan con sellado o eliminación de antecedentes, desalojos, beneficios y otros asuntos civiles—no casos penales activos. La representación se limita a asuntos legales civiles—no casos penales activos. Ingresos, tamaño del hogar y tipo de delito determinan la elegibilidad para alivio de antecedentes. Contacte la oficina para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.","615 North Alabama Street, Suite 122",Indianapolis,(317) 635-9538,,https://www.indylas.org,Low-income Indiana residents in service area; veterans and seniors may qualify with higher income limits.,Residentes de bajos ingresos en el área de servicio; veteranos y personas mayores pueden calificar con límites más altos.,Apply online at indianalegalservices.org or call 844-243-8570 Mon–Thu 10 a.m.–2 p.m. ET for ILS offices.,Solicite en línea o llame al 844-243-8570 lun–jue 10 a.m.–2 p.m. ET para oficinas ILS.,Intake Mon–Thu mornings; call local office for walk-in hours,legal-aid|low-income|reentry|housing|indiana|marion,Civil legal representation|Housing legal aid|Benefits advocacy|Family law assistance,Marion,Boone|Hamilton|Hancock|Hendricks|Johnson|Marion|Morgan|Shelby,multi,accepts_criminal_record
40,Legal Aid Society of Evansville,legal-aid,Evansville / Vanderburgh County,"Legal Aid Society of Evansville serves justice-involved adults and families rebuilding stability after incarceration in 11 Indiana counties. Evansville regional office of Indiana Legal Services providing free civil legal aid for low-income southwest Indiana residents including housing and benefits. Income and household-size limits apply; intake through centralized line 844-243-8570 or local office. Representation is limited to civil legal matters—not active criminal cases. Income, household size, and offense type determine eligibility for record relief. Contact the program to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","Legal Aid Society of Evansville ofrece asistencia legal civil gratuita o de bajo costo para residentes de bajos ingresos en 11 condados de Indiana. Los abogados ayudan con sellado o eliminación de antecedentes, desalojos, beneficios y otros asuntos civiles—no casos penales activos. La representación se limita a asuntos legales civiles—no casos penales activos. Ingresos, tamaño del hogar y tipo de delito determinan la elegibilidad para alivio de antecedentes. Contacte la oficina para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.","915 Main Street, Suite 201",Evansville,(812) 426-1295,,https://www.indianalegalservices.org,Low-income Indiana residents in service area; veterans and seniors may qualify with higher income limits.,Residentes de bajos ingresos en el área de servicio; veteranos y personas mayores pueden calificar con límites más altos.,Apply online at indianalegalservices.org or call 844-243-8570 Mon–Thu 10 a.m.–2 p.m. ET for ILS offices.,Solicite en línea o llame al 844-243-8570 lun–jue 10 a.m.–2 p.m. ET para oficinas ILS.,Intake Mon–Thu mornings; call local office for walk-in hours,legal-aid|low-income|reentry|housing|indiana|vanderburgh,Civil legal representation|Housing legal aid|Benefits advocacy|Family law assistance,Vanderburgh,Daviess|Dubois|Gibson|Knox|Martin|Perry|Pike|Posey|Spencer|Vanderburgh|Warrick,multi,accepts_criminal_record
41,Re-Entry Parole District (PD 1),probation-parole,Central Indiana — 7 counties,"IDOC parole district office supervising justice-involved individuals in Boone, Hamilton, Hancock, Hendricks, Johnson, Morgan, Shelby. Parole agents connect supervisees to HIRE employment coordinators, transitional healthcare facilitators, and community reentry partners. Contact for reporting requirements and supervision compliance—not emergency services.","Oficina del distrito de libertad condicional del IDOC que supervisa personas en Boone, Hamilton, Hancock, Hendricks, Johnson, Morgan, Shelby. Los agentes conectan a supervisados con coordinadores HIRE y aliados de reinserción comunitaria. Contacte para requisitos de reporte y cumplimiento de supervisión, no para servicios de emergencia.",2596 North Girls School Road,Indianapolis,(317) 244-3144,,https://www.in.gov/idoc/facilities/parole-districts/,Individuals under Indiana parole supervision in assigned counties; family may contact for general district information.,Personas bajo supervisión de libertad condicional en condados asignados; familiares pueden contactar para información general.,Re-Entry PD1 Plainfield/Indianapolis office; HIRE Region 3 coordinator Nathan Noll (317) 542-3768.,Re-Entry PD1 Plainfield/Indianapolis office; HIRE Region 3 coordinator Nathan Noll (317) 542-3768.,"Monday–Friday, 8:00 a.m.–4:30 p.m. local time",parole|DOC|marion|supervision,Parole supervision|HIRE coordinator referrals|Transitional healthcare navigation|Reentry partner connections,Marion,Boone|Hamilton|Hancock|Hendricks|Johnson|Morgan|Shelby,multi,accepts_criminal_record
42,Fort Wayne Parole District (PD 2),probation-parole,Northeast Indiana — 10 counties,"IDOC parole district office supervising justice-involved individuals in Adams, Allen, DeKalb, Huntington, Kosciusko, LaGrange, Noble, Steuben, Wells, Whitley. Parole agents connect supervisees to HIRE employment coordinators, transitional healthcare facilitators, and community reentry partners. Contact for reporting requirements and supervision compliance—not emergency services.","Oficina del distrito de libertad condicional del IDOC que supervisa personas en Adams, Allen, DeKalb, Huntington, Kosciusko, LaGrange, Noble, Steuben, Wells, Whitley. Los agentes conectan a supervisados con coordinadores HIRE y aliados de reinserción comunitaria. Contacte para requisitos de reporte y cumplimiento de supervisión, no para servicios de emergencia.",3111 Coliseum Boulevard,Fort Wayne,(260) 484-3048,,https://www.in.gov/idoc/facilities/parole-districts/,Individuals under Indiana parole supervision in assigned counties; family may contact for general district information.,Personas bajo supervisión de libertad condicional en condados asignados; familiares pueden contactar para información general.,Supervisor Bobby Yarborough; serves northeast Indiana parole supervisees.,Supervisor Bobby Yarborough; serves northeast Indiana parole supervisees.,"Monday–Friday, 8:00 a.m.–4:30 p.m. local time",parole|DOC|allen|supervision,Parole supervision|HIRE coordinator referrals|Transitional healthcare navigation|Reentry partner connections,Allen,Adams|Allen|DeKalb|Huntington|Kosciusko|LaGrange|Noble|Steuben|Wells|Whitley,multi,accepts_criminal_record
43,Indianapolis Parole District (PD 3),probation-parole,Marion County,"Indianapolis Parole District (PD 3) serves justice-involved adults and families rebuilding stability after incarceration in Marion County. IDOC parole district office supervising justice-involved individuals in Marion. Parole agents connect supervisees to HIRE employment coordinators, transitional healthcare facilitators, and community reentry partners. Contact for reporting requirements and supervision compliance—not emergency services. This office handles supervision compliance and reporting—not emergency reentry navigation; ask your officer for referrals to local reentry partners. Contact the program to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","Indianapolis Parole District (PD 3) sirve a adultos con antecedentes penales y familias que reconstruyen estabilidad después de la encarcelación en condado de Marion. Esta oficina maneja cumplimiento de supervisión e informes—no navegación de crisis de reinserción; pida a su oficial referencias a aliados locales de reinserción. Contacte el programa para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.",6400 East 30th Street,Indianapolis,(317) 541-1088,,https://www.in.gov/idoc/facilities/parole-districts/,Individuals under Indiana parole supervision in assigned counties; family may contact for general district information.,Personas bajo supervisión de libertad condicional en condados asignados; familiares pueden contactar para información general.,"For current intake, call (317) 541-1088; visit https://www.in.gov/idoc/facilities/parole-districts/. Monday–Friday, 8:00 a.m.–4:30 p.m. local time.","Para admisión actual, llame al (317) 541-1088; visite https://www.in.gov/idoc/facilities/parole-districts/. Monday–Friday, 8:00 a.m.–4:30 p.m. local time.","Monday–Friday, 8:00 a.m.–4:30 p.m. local time",parole|DOC|marion|supervision|reentry|indiana|probation-parole,Parole supervision|HIRE coordinator referrals|Transitional healthcare navigation|Reentry partner connections,Marion,Marion,single,accepts_criminal_record
44,Evansville Parole District (PD 4),probation-parole,Southwest Indiana — 10 counties,"IDOC parole district office supervising justice-involved individuals in Daviess, Dubois, Gibson, Knox, Martin, Pike, Posey, Spencer, Vanderburgh, Warrick. Parole agents connect supervisees to HIRE employment coordinators, transitional healthcare facilitators, and community reentry partners. Contact for reporting requirements and supervision compliance—not emergency services.","Oficina del distrito de libertad condicional del IDOC que supervisa personas en Daviess, Dubois, Gibson, Knox, Martin, Pike, Posey, Spencer, Vanderburgh, Warrick. Los agentes conectan a supervisados con coordinadores HIRE y aliados de reinserción comunitaria. Contacte para requisitos de reporte y cumplimiento de supervisión, no para servicios de emergencia.",27 Pasco Avenue,Evansville,(812) 424-9821,,https://www.in.gov/idoc/facilities/parole-districts/,Individuals under Indiana parole supervision in assigned counties; family may contact for general district information.,Personas bajo supervisión de libertad condicional en condados asignados; familiares pueden contactar para información general.,Supervisor Aleisha Burridge; HIRE Region 8 coordinator Jordan Baer (812) 454-9657.,Supervisor Aleisha Burridge; HIRE Region 8 coordinator Jordan Baer (812) 454-9657.,"Monday–Friday, 8:00 a.m.–4:30 p.m. local time",parole|DOC|vanderburgh|supervision,Parole supervision|HIRE coordinator referrals|Transitional healthcare navigation|Reentry partner connections,Vanderburgh,Daviess|Dubois|Gibson|Knox|Martin|Pike|Posey|Spencer|Vanderburgh|Warrick,multi,accepts_criminal_record
45,Bloomington Parole District (PD 5),probation-parole,South-Central Indiana,"IDOC parole district office supervising justice-involved individuals in Bartholomew, Brown, Clay, Greene, Jackson, Lawrence, Monroe, Morgan, Orange, Owen, Parke, Putnam, Sullivan, Vigo. Parole agents connect supervisees to HIRE employment coordinators, transitional healthcare facilitators, and community reentry partners. Contact for reporting requirements and supervision compliance—not emergency services.","Oficina del distrito de libertad condicional del IDOC que supervisa personas en Bartholomew, Brown, Clay, Greene, Jackson, Lawrence, Monroe, Morgan, Orange, Owen, Parke, Putnam, Sullivan, Vigo. Los agentes conectan a supervisados con coordinadores HIRE y aliados de reinserción comunitaria. Contacte para requisitos de reporte y cumplimiento de supervisión, no para servicios de emergencia.",100 South College Avenue,Bloomington,(812) 339-7668,,https://www.in.gov/idoc/facilities/parole-districts/,Individuals under Indiana parole supervision in assigned counties; family may contact for general district information.,Personas bajo supervisión de libertad condicional en condados asignados; familiares pueden contactar para información general.,Contact IDOC parole districts page for PD5 office phone; ILS Bloomington supports civil legal needs.,Contact IDOC parole districts page for PD5 office phone; ILS Bloomington supports civil legal needs.,"Monday–Friday, 8:00 a.m.–4:30 p.m. local time",parole|DOC|monroe|supervision,Parole supervision|HIRE coordinator referrals|Transitional healthcare navigation|Reentry partner connections,Monroe,Bartholomew|Brown|Clay|Greene|Jackson|Lawrence|Monroe|Morgan|Orange|Owen|Parke|Putnam|Sullivan|Vigo,multi,accepts_criminal_record
46,Gary Parole District (PD 6),probation-parole,Northwest Indiana,"Gary Parole District (PD 6) serves justice-involved adults and families rebuilding stability after incarceration in Jasper, Lake, Newton, and Porter counties. IDOC parole district office supervising justice-involved individuals in Jasper, Lake, Newton, Porter. Parole agents connect supervisees to HIRE employment coordinators, transitional healthcare facilitators, and community reentry partners. Contact for reporting requirements and supervision compliance—not emergency services. This office handles supervision compliance and reporting—not emergency reentry navigation; ask your officer for referrals to local reentry partners. Contact the program to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","Gary Parole District (PD 6) sirve a adultos con antecedentes penales y familias que reconstruyen estabilidad después de la encarcelación en los condados Jasper, Lake, Newton y Porter. Esta oficina maneja cumplimiento de supervisión e informes—no navegación de crisis de reinserción; pida a su oficial referencias a aliados locales de reinserción. Contacte el programa para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.","7863 Broadway, Suite 205",Merrillville,(219) 738-6040,,https://www.in.gov/idoc/facilities/parole-districts/,Individuals under Indiana parole supervision in assigned counties; family may contact for general district information.,Personas bajo supervisión de libertad condicional en condados asignados; familiares pueden contactar para información general.,"For current intake, call (219) 738-6040; visit https://www.in.gov/idoc/facilities/parole-districts/. Monday–Friday, 8:00 a.m.–4:30 p.m. local time.","Para admisión actual, llame al (219) 738-6040; visite https://www.in.gov/idoc/facilities/parole-districts/. Monday–Friday, 8:00 a.m.–4:30 p.m. local time.","Monday–Friday, 8:00 a.m.–4:30 p.m. local time",parole|DOC|lake|supervision|reentry|indiana|probation-parole,Parole supervision|HIRE coordinator referrals|Transitional healthcare navigation|Reentry partner connections,Lake,Jasper|Lake|Newton|Porter,multi,accepts_criminal_record
47,New Castle Parole District (PD 7),probation-parole,East-Central Indiana,"IDOC parole district office supervising justice-involved individuals in Delaware, Fayette, Franklin, Henry, Madison, Randolph, Rush, Union, Wayne. Parole agents connect supervisees to HIRE employment coordinators, transitional healthcare facilitators, and community reentry partners. Contact for reporting requirements and supervision compliance—not emergency services.","Oficina del distrito de libertad condicional del IDOC que supervisa personas en Delaware, Fayette, Franklin, Henry, Madison, Randolph, Rush, Union, Wayne. Los agentes conectan a supervisados con coordinadores HIRE y aliados de reinserción comunitaria. Contacte para requisitos de reporte y cumplimiento de supervisión, no para servicios de emergencia.",,New Castle,(765) 529-2359,,https://www.in.gov/idoc/facilities/parole-districts/,Individuals under Indiana parole supervision in assigned counties; family may contact for general district information.,Personas bajo supervisión de libertad condicional en condados asignados; familiares pueden contactar para información general.,East-central Indiana parole district; contact IDOC for current PD7 office address.,East-central Indiana parole district; contact IDOC for current PD7 office address.,"Monday–Friday, 8:00 a.m.–4:30 p.m. local time",parole|DOC|henry|supervision,Parole supervision|HIRE coordinator referrals|Transitional healthcare navigation|Reentry partner connections,Henry,Delaware|Fayette|Franklin|Henry|Madison|Randolph|Rush|Union|Wayne,multi,accepts_criminal_record
48,South Bend Parole District (PD 8),probation-parole,North-Central Indiana,"IDOC parole district office supervising justice-involved individuals in Elkhart, Fulton, Kosciusko, LaGrange, LaPorte, Marshall, Noble, Pulaski, Starke, St. Joseph. Parole agents connect supervisees to HIRE employment coordinators, transitional healthcare facilitators, and community reentry partners. Contact for reporting requirements and supervision compliance—not emergency services.","Oficina del distrito de libertad condicional del IDOC que supervisa personas en Elkhart, Fulton, Kosciusko, LaGrange, LaPorte, Marshall, Noble, Pulaski, Starke, St. Joseph. Los agentes conectan a supervisados con coordinadores HIRE y aliados de reinserción comunitaria. Contacte para requisitos de reporte y cumplimiento de supervisión, no para servicios de emergencia.",227 South Main Street,South Bend,(574) 234-8121,,https://www.in.gov/idoc/facilities/parole-districts/,Individuals under Indiana parole supervision in assigned counties; family may contact for general district information.,Personas bajo supervisión de libertad condicional en condados asignados; familiares pueden contactar para información general.,North-central Indiana parole district serving St. Joseph County and surrounding counties.,North-central Indiana parole district serving St. Joseph County and surrounding counties.,"Monday–Friday, 8:00 a.m.–4:30 p.m. local time",parole|DOC|st. joseph|supervision,Parole supervision|HIRE coordinator referrals|Transitional healthcare navigation|Reentry partner connections,St. Joseph,Elkhart|Fulton|Kosciusko|LaGrange|LaPorte|Marshall|Noble|Pulaski|Starke|St. Joseph,multi,accepts_criminal_record
49,Madison Parole District (PD 9),probation-parole,Southeast Indiana,"IDOC parole district office supervising justice-involved individuals in Clark, Crawford, Dearborn, Floyd, Harrison, Jefferson, Jennings, Ohio, Ripley, Scott, Switzerland, Washington. Parole agents connect supervisees to HIRE employment coordinators, transitional healthcare facilitators, and community reentry partners. Contact for reporting requirements and supervision compliance—not emergency services.","Oficina del distrito de libertad condicional del IDOC que supervisa personas en Clark, Crawford, Dearborn, Floyd, Harrison, Jefferson, Jennings, Ohio, Ripley, Scott, Switzerland, Washington. Los agentes conectan a supervisados con coordinadores HIRE y aliados de reinserción comunitaria. Contacte para requisitos de reporte y cumplimiento de supervisión, no para servicios de emergencia.","3303 Plaza Drive, Suite 5",New Albany,(812) 945-4123,,https://www.in.gov/idoc/facilities/parole-districts/,Individuals under Indiana parole supervision in assigned counties; family may contact for general district information.,Personas bajo supervisión de libertad condicional en condados asignados; familiares pueden contactar para información general.,Southeast Indiana parole district; ILS New Albany supports regional civil legal needs.,Southeast Indiana parole district; ILS New Albany supports regional civil legal needs.,"Monday–Friday, 8:00 a.m.–4:30 p.m. local time",parole|DOC|floyd|supervision,Parole supervision|HIRE coordinator referrals|Transitional healthcare navigation|Reentry partner connections,Floyd,Clark|Crawford|Dearborn|Floyd|Harrison|Jefferson|Jennings|Ohio|Ripley|Scott|Switzerland|Washington,multi,accepts_criminal_record
50,Terre Haute Parole District (PD 10),probation-parole,Wabash Valley — 14 counties,"IDOC parole district office supervising justice-involved individuals in Benton, Carroll, Clay, Clinton, Fountain, Greene, Montgomery, Owen, Parke, Putnam, Sullivan, Tippecanoe, Vermillion, Vigo, Warren. Parole agents connect supervisees to HIRE employment coordinators, transitional healthcare facilitators, and community reentry partners. Contact for reporting requirements and supervision compliance—not emergency services.","Oficina del distrito de libertad condicional del IDOC que supervisa personas en Benton, Carroll, Clay, Clinton, Fountain, Greene, Montgomery, Owen, Parke, Putnam, Sullivan, Tippecanoe, Vermillion, Vigo, Warren. Los agentes conectan a supervisados con coordinadores HIRE y aliados de reinserción comunitaria. Contacte para requisitos de reporte y cumplimiento de supervisión, no para servicios de emergencia.",700 South State Road 46,Terre Haute,(812) 235-0606,,https://www.in.gov/idoc/facilities/parole-districts/,Individuals under Indiana parole supervision in assigned counties; family may contact for general district information.,Personas bajo supervisión de libertad condicional en condados asignados; familiares pueden contactar para información general.,Supervisor Marcus Blade; serves Wabash Valley parole supervisees.,Supervisor Marcus Blade; serves Wabash Valley parole supervisees.,"Monday–Friday, 8:00 a.m.–4:30 p.m. local time",parole|DOC|vigo|supervision,Parole supervision|HIRE coordinator referrals|Transitional healthcare navigation|Reentry partner connections,Vigo,Benton|Carroll|Clay|Clinton|Fountain|Greene|Montgomery|Owen|Parke|Putnam|Sullivan|Tippecanoe|Vermillion|Vigo|Warren,multi,accepts_criminal_record
